"","entityName","entityType","dataReplicationAlongRequestTrace_original","dataReplicationAlongRequestTrace_highreplication","dataReplicationAlongRequestTrace_lowreplication","dataReplicationAlongRequestTrace_mixedreplication","dataReplicationAlongRequestTrace_withfailures-noreplication","dataReplicationAlongRequestTrace_withfailures-lowreplication","dataReplicationAlongRequestTrace_withfailures-mixedreplication","dataReplicationAlongRequestTrace_withfailures-highreplication","dataReplicationAlongRequestTrace_rds-single-noreplication","dataReplicationAlongRequestTrace_rds-single-highreplication","dataReplicationAlongRequestTrace_rds-two-noreplication","dataReplicationAlongRequestTrace_rds-two-highreplication","dataReplicationAlongRequestTrace_rds-three-noreplication","dataReplicationAlongRequestTrace_rds-three-highreplication","dataReplicationAlongRequestTrace_noreplication-nocaching","dataReplicationAlongRequestTrace_noreplication-withcaching","dataReplicationAlongRequestTrace_noreplication-withmorecaching","dataReplicationAlongRequestTrace_withfailures-nocaching","dataReplicationAlongRequestTrace_withfailures-withcaching","dataReplicationAlongRequestTrace_withfailures-withmorecaching","serviceReplicationLevel_original","serviceReplicationLevel_highreplication","serviceReplicationLevel_lowreplication","serviceReplicationLevel_mixedreplication","serviceReplicationLevel_withfailures-noreplication","serviceReplicationLevel_withfailures-lowreplication","serviceReplicationLevel_withfailures-mixedreplication","serviceReplicationLevel_withfailures-highreplication","serviceReplicationLevel_rds-single-noreplication","serviceReplicationLevel_rds-single-highreplication","serviceReplicationLevel_rds-two-noreplication","serviceReplicationLevel_rds-two-highreplication","serviceReplicationLevel_rds-three-noreplication","serviceReplicationLevel_rds-three-highreplication","serviceReplicationLevel_noreplication-nocaching","serviceReplicationLevel_noreplication-withcaching","serviceReplicationLevel_noreplication-withmorecaching","serviceReplicationLevel_withfailures-nocaching","serviceReplicationLevel_withfailures-withcaching","serviceReplicationLevel_withfailures-withmorecaching","storageReplicationLevel_original","storageReplicationLevel_highreplication","storageReplicationLevel_lowreplication","storageReplicationLevel_mixedreplication","storageReplicationLevel_withfailures-noreplication","storageReplicationLevel_withfailures-lowreplication","storageReplicationLevel_withfailures-mixedreplication","storageReplicationLevel_withfailures-highreplication","storageReplicationLevel_rds-single-noreplication","storageReplicationLevel_rds-single-highreplication","storageReplicationLevel_rds-two-noreplication","storageReplicationLevel_rds-two-highreplication","storageReplicationLevel_rds-three-noreplication","storageReplicationLevel_rds-three-highreplication","storageReplicationLevel_noreplication-nocaching","storageReplicationLevel_noreplication-withcaching","storageReplicationLevel_noreplication-withmorecaching","storageReplicationLevel_withfailures-nocaching","storageReplicationLevel_withfailures-withcaching","storageReplicationLevel_withfailures-withmorecaching","ratioOfCachedDataAggregates_original","ratioOfCachedDataAggregates_highreplication","ratioOfCachedDataAggregates_lowreplication","ratioOfCachedDataAggregates_mixedreplication","ratioOfCachedDataAggregates_withfailures-noreplication","ratioOfCachedDataAggregates_withfailures-lowreplication","ratioOfCachedDataAggregates_withfailures-mixedreplication","ratioOfCachedDataAggregates_withfailures-highreplication","ratioOfCachedDataAggregates_rds-single-noreplication","ratioOfCachedDataAggregates_rds-single-highreplication","ratioOfCachedDataAggregates_rds-two-noreplication","ratioOfCachedDataAggregates_rds-two-highreplication","ratioOfCachedDataAggregates_rds-three-noreplication","ratioOfCachedDataAggregates_rds-three-highreplication","ratioOfCachedDataAggregates_noreplication-nocaching","ratioOfCachedDataAggregates_noreplication-withcaching","ratioOfCachedDataAggregates_noreplication-withmorecaching","ratioOfCachedDataAggregates_withfailures-nocaching","ratioOfCachedDataAggregates_withfailures-withcaching","ratioOfCachedDataAggregates_withfailures-withmorecaching"
"1","teaStore","system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,3.4,1,2,3.4,5,1,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1,1,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0,0.75,0.917,0,0.75,0.917
"2","Imageprovider","service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,3,1,2,3,5,1,5,1,5,1,5,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Webui","service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,5,1,2,5,5,1,5,1,5,1,5,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"4","Auth","service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,3,1,2,3,5,1,5,1,5,1,5,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0.667
"5","Recommender","service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,1,1,2,1,5,1,5,1,5,1,5,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Persistence","service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,5,1,2,5,5,1,5,1,5,1,5,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"7","DB","sbs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Index Page","requestTrace",0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.667,0.9,1,0.667,0.9,1,1,5,2,4,1,2,4,5,1,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","User Login","requestTrace",0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.812,0.938,1,0.812,0.938,1,1,5,2,4.333,1,2,4.333,5,1,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Product Page","requestTrace",0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.533,0.9,1,0.533,0.9,1,1,5,2,3.4,1,2,3.4,5,1,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
